"","DMA_CODE","month","V1","YRMO","COS_NRX_CHN_PSO","Calls_comb","TV_GRP","lag.1.COS_NRX_CHN_PSO","lag.2.COS_NRX_CHN_PSO","lag.3.COS_NRX_CHN_PSO","lag.1.Calls_comb","lag.2.Calls_comb","lag.3.Calls_comb","lag.4.Calls_comb","lag.5.Calls_comb","lag.1.TV_GRP","lag.2.TV_GRP","lag.3.TV_GRP","lag.4.TV_GRP","lag.5.TV_GRP","calls_adstock_4_0.6","ln_calls_adstock_4_0.6","calls_adstock_4_0.7","ln_calls_adstock_4_0.7","calls_adstock_4_0.8","ln_calls_adstock_4_0.8","TV_GRP_adstock_4_0.6","ln_TV_GRP_adstock_4_0.6","TV_GRP_adstock_4_0.7","ln_TV_GRP_adstock_4_0.7","TV_GRP_adstock_4_0.8","ln_TV_GRP_adstock_4_0.8","calls_adstock_5_0.6","ln_calls_adstock_5_0.6","calls_adstock_5_0.7","ln_calls_adstock_5_0.7","calls_adstock_5_0.8","ln_calls_adstock_5_0.8","TV_GRP_adstock_5_0.6","ln_TV_GRP_adstock_5_0.6","TV_GRP_adstock_5_0.7","ln_TV_GRP_adstock_5_0.7","TV_GRP_adstock_5_0.8","ln_TV_GRP_adstock_5_0.8","calls_adstock_6_0.6","ln_calls_adstock_6_0.6","calls_adstock_6_0.7","ln_calls_adstock_6_0.7","calls_adstock_6_0.8","ln_calls_adstock_6_0.8","TV_GRP_adstock_6_0.6","ln_TV_GRP_adstock_6_0.6","TV_GRP_adstock_6_0.7","ln_TV_GRP_adstock_6_0.7","TV_GRP_adstock_6_0.8","calls_adstock_2_0.6","ln_TV_GRP_adstock_6_0.8","ln_calls_adstock_2_0.6","calls_adstock_2_0.7","ln_calls_adstock_2_0.7","calls_adstock_2_0.8","ln_calls_adstock_2_0.8","TV_GRP_adstock_2_0.6","ln_TV_GRP_adstock_2_0.6","TV_GRP_adstock_2_0.7","ln_TV_GRP_adstock_2_0.7","TV_GRP_adstock_2_0.8","ln_TV_GRP_adstock_2_0.8","dummy","TV_GRP_adstock_2_0.4","ln_TV_GRP_adstock_2_0.4","TV_GRP_adstock_2_0.2","ln_TV_GRP_adstock_2_0.2","ln_calls_adstock_6_0.8_by_carry","ln_Calls_Comb","Market_Nrx","Market_Share","Market_Sales","ln_TV_GRP","ln_calls_adstock_6_0.6_try"
"745",705,5,7451,202005,1,0,0.16,11,10,10,0,8,11,10,10,0.41,0.16,0.15,0.28,0.54,5.256,1.83354100324301,7.693,2.16251810409693,10.752,2.46402343887158,0.496,0.402794879552285,0.57685,0.455429186145612,0.6672,0.511145572576911,6.552,2.0218124288432,10.094,2.40640442163304,14.848,2.76304330939625,0.532288,0.426762043206713,0.644078,0.497179740763972,0.781888,0.577673476343911,7.3296,2.11981543581811,11.7747,2.54746665244808,18.1248,2.95098592214158,0.5742784,0.453797008560658,0.7348358,0.550912769150744,0.9588352,0,0.672350010870392,0,0,0,0,0,0.406,0.340748793388473,0.447,0.369492447649347,0.488,0.3974329364109,"dummy",0.324,0.280657457514817,0.242,0.216722983511287,0.245915493511798,0,23,0.0416666666666667,22,0.148420005118273,0.0883256431590879
"746",709,1,7461,202001,10,42,0.44,9,8,12,20,32,47,33,47,0.81,0.88,1.86,1.22,1.3,75.672,4.33953658305293,87.801,4.48639791119598,102.544,4.63999664314014,1.64456,0.972504699865494,2.07618,1.12368856748658,2.60352,1.28191114552652,79.9488,4.39381685604836,95.7243,4.57186466354824,116.0608,4.76269345794189,1.802672,1.0305732478543,2.369102,1.21464624001241,3.103232,1.4117749558537,83.60352,4.43797587331162,103.62359,4.65036905201632,131.46176,4.88629399999861,1.90376,1.0660064489192,2.587593,1.27748150409468,3.529216,54,1.5105488560842,4.00733318523247,56,4.04305126783455,58,4.07753744390572,0.926,0.655445313375934,1.007,0.696641069814201,1.088,0.736206670020392,"dummy",0.764,0.5675839575846,0.602,0.471252848646167,0.488629399999861,3.76120011569356,221,0.045045045045045,211,0.364643113587909,0.0199908823122145
"747",709,2,7471,202002,13,50,0.24,10,9,8,42,20,32,47,33,0.44,0.81,0.88,1.86,1.22,89.312,4.50327034195925,100.176,4.61686157457768,112.784,4.73430191426793,0.98568,0.68596142474522,1.24674,0.809480276672957,1.56096,0.940382188196545,95.4032,4.5685393960863,111.4607,4.72260382728004,132.0352,4.89061375485917,1.226736,0.800536836120227,1.693326,0.99077686108891,2.322816,1.20081261618727,97.96928,4.59480949895034,117.00701,4.77074402948081,142.84864,4.9687616356602,1.3216032,0.842257981506588,1.8983714,1.06414899303694,2.7225856,75.2,1.3144184806105,4.3333614626926,79.4,4.38701417618492,83.6,4.43793426661218,0.504,0.408128225527648,0.548,0.436963775167535,0.592,0.464991087422191,"dummy",0.416,0.347835995271528,0.328,0.283674051054242,0.451705603241836,3.93182563272433,185,0.0698924731182796,172,0.215111379616945,0.0247032768760771
"748",709,3,7481,202003,10,26,0.26,13,10,9,50,42,20,32,47,0.24,0.44,0.81,0.88,1.86,75.44,4.33650611937207,88.44,4.49356800940679,103.12,4.64554408012636,0.73736,0.552366719670859,0.92143,0.653069700486682,1.14832,0.764686141342261,79.5872,4.38933982796811,96.1232,4.57598027569754,116.2272,4.76411393212733,0.851408,0.615946430695975,1.132718,0.75739722259142,1.508768,0.919791795990564,83.24192,4.43369265958878,104.02249,4.65417451769821,131.62816,4.887549423229,0.9960416,0.691166019355454,1.4453282,0.894179347047209,2.1182528,56,1.13727284496283,4.04305126783455,61,4.12713438504509,66,4.20469261939097,0.404,0.339325305603619,0.428,0.356274863917393,0.452,0.372941916402604,"dummy",0.356,0.304539189518204,0.308,0.268499253035007,0.349110673087786,3.29583686600433,186,0.053475935828877,176,0.231111720963387,0.0237095864149133
"749",709,4,7491,202004,9,0,0.6,10,13,10,26,50,42,20,32,0.26,0.24,0.44,0.81,0.88,42.672,3.77670716447946,57.106,4.06226892874962,74.304,4.32153325424492,0.93744,0.661367514023919,1.05052,0.718093419521015,1.18688,0.782475870504735,45.264,3.83436412085592,61.908,4.14167334162848,82.496,4.42479872651775,1.042416,0.714133420835329,1.245001,0.808705966628417,1.518656,0.923725425917188,47.75232,3.88675278605509,67.28624,4.22370828215128,92.98176,4.54310072088812,1.1108448,0.747088246504551,1.3929026,0.872507106050246,1.8070144,15.6,1.03212142739865,2.8094026953625,18.2,2.95491027903374,20.8,3.08190996979504,0.756,0.563038495212925,0.782,0.577736329048618,0.808,0.592221261969985,"dummy",0.704,0.532978428407124,0.652,0.501986675098786,0.413009156444375,0,185,0.0483870967741935,176,0.470003629245736,0.0208965203551349
"750",709,5,7501,202005,6,0,0.25,9,10,13,0,26,50,42,20,0.6,0.26,0.24,0.44,0.81,20.16,3.0521126069901,29.89,3.43043250693049,42.24,3.76676599277101,0.75544,0.562719537745477,0.87972,0.631122829579552,1.01928,0.702741012231267,25.6032,3.28103150930398,39.9742,3.71294260033923,59.4432,4.10170408107249,0.812464,0.594687245480474,0.985364,0.685802272642817,1.199504,0.788231880400119,27.1584,3.33784571149381,43.3356,3.79178796606621,65.9968,4.20464485705633,0.8754496,0.628848417344813,1.1215007,0.752123715615408,1.4649248,0,0.902161299929911,0,0,0,0,0,0.61,0.476234178996372,0.67,0.512823626428664,0.73,0.548121408509688,"dummy",0.49,0.398776119957368,0.37,0.314810739840034,0.420464485705633,0,39,0.15,33,0.22314355131421,0.0834461427873452
"751",710,1,7511,202001,4,123,0.01,20,20,22,23,50,59,47,50,0.05,0.06,0.24,0.12,0.12,167.544,5.12719684330098,183.837,5.21947435561716,203.608,5.32109595343738,0.11344,0.107454322114403,0.15672,0.145588413737734,0.21128,0.19167765171798,173.6352,5.16269922675173,195.1217,5.27873538490781,222.8592,5.41101728279263,0.128992,0.121325199225679,0.185532,0.170191618989053,0.260432,0.231454519344165,177.5232,5.18471856476286,203.5252,5.32069119527485,239.2432,5.48165174359968,0.1383232,0.129556302411654,0.2057004,0.187060642898558,0.2997536,136.8,0.262174708041268,4.92580335857956,139.1,4.94235645334296,141.4,4.95863999897788,0.04,0.0392207131532813,0.045,0.0440168854167743,0.05,0.048790164169432,"dummy",0.03,0.0295588022415444,0.02,0.0198026272961797,0.261031035409509,4.82028156560504,91,0.0434782608695652,87,0.00995033085316809,0.0563556365735093
"752",710,2,7521,202002,8,72,0,4,20,20,123,23,50,59,47,0.01,0.05,0.06,0.24,0.12,164.88,5.11126463537818,186.52,5.23388550638865,210.72,5.35526464698979,0.03696,0.0362933556972689,0.05208,0.0507691570515723,0.07072,0.0683313193762675,172.5264,5.15632974919483,200.6859,5.30671153671595,234.8864,5.46335033320445,0.068064,0.0658476638361993,0.109704,0.104093313095698,0.169024,0.156169212647022,176.18112,5.17717248621913,208.58519,5.34513029155352,250.28736,5.52659714483647,0.0773952,0.0745462760845187,0.1298724,0.122104705994284,0.2083456,145.8,0.189252151311138,4.98907111618042,158.1,5.06953293534374,170.4,5.14400000616368,0.006,0.00598207167754747,0.007,0.00697561373642514,0.008,0.00796816964917688,"dummy",0.004,0.00399202126953746,0.002,0.00199800266267306,1.10531942896729,4.29045944114839,78,0.10126582278481,70,0,0.0655338289394827
"753",710,3,7531,202003,10,23,0,8,4,20,72,123,23,50,59,0,0.01,0.05,0.06,0.24,115.448,4.75744482142975,141.559,4.95975594910755,171.096,5.1480524606464,0.0144,0.0142973047008244,0.02205,0.0218104142638491,0.032,0.031498667059371,121.928,4.81159881812528,153.564,5.04060825004651,191.576,5.26049088100758,0.022176,0.0219336883051338,0.036456,0.0358072014378954,0.056576,0.0550334911232662,126.51584,4.84824059217603,163.48013,5.10278977263614,210.90912,5.35615750351751,0.0408384,0.0400265422319532,0.0767928,0.073986993407517,0.1352192,66.2,0.126825760039906,4.2076732475291,73.4,4.30945594183905,80.6,4.40182926197006,0,0,0,0,0,0,"dummy",0,0,0,0,0.595128611501946,3.17805383034795,80,0.123456790123457,70,0,0.05985482212563
"754",710,4,7541,202004,16,13,0.03,10,8,4,23,72,123,23,50,0,0,0.01,0.05,0.06,79.288,4.38562017018401,106.569,4.67813250212851,140.456,4.95198871466345,0.03216,0.0316536938017945,0.03343,0.0328833668347102,0.03512,0.0345173620255604,82.2688,4.42207392919157,112.0913,4.72819545708642,149.8768,5.01646360975249,0.03864,0.0379121650698609,0.045435,0.0444330667438939,0.0556,0.054109325647032,86.1568,4.46770879531341,120.4948,4.79987146351082,166.2608,5.11955427091456,0.0433056,0.0423941340610101,0.0555192,0.0540327785718697,0.0752608,26.8,0.0725632368070392,3.32503602069659,29.1,3.40452517175483,31.4,3.47815842279828,0.03,0.0295588022415444,0.03,0.0295588022415444,0.03,0.0295588022415444,"dummy",0.03,0.0295588022415444,0.03,0.0295588022415444,0.465414024628596,2.63905732961526,77,0.205128205128205,61,0.0295588022415444,0.0572783178886335
